ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
EWU,0.2,0.2,0.2,0.2,0.2,0.01
EWG,0.2,0.2,0.2,0.2,0.2,0.01
EWL,0.2,0.2,0.2,0.2,0.2,0.01
EWQ,0.2,0.2,0.2,0.2,0.2,0.01
IEUS,0.2,0.2,0.2,0.2,0.2,0.01
EWJ,0.2,0.2,0.2,0.2,0.2,0.01
EWT,0.2,0.2,0.2,0.2,0.2,0.01
MCHI,0.2,0.2,0.2,0.2,0.2,0.01
INDA,0.2,0.2,0.2,0.2,0.2,0.01
EWY,0.2,0.2,0.2,0.2,0.2,0.01
EWA,0.2,0.2,0.2,0.2,0.2,0.01
EWH,0.2,0.2,0.2,0.2,0.2,0.01
EWZ,0.2,0.2,0.2,0.2,0.2,0.01
EWC,0.2,0.2,0.2,0.2,0.2,0.01
IEMG,0.2,0.2,0.2,0.2,0.2,0.01
LQD,0.2,0.2,0.2,0.2,0.2,0.01
HYG,0.2,0.2,0.2,0.2,0.2,0.01
SHY,0.2,0.2,0.2,0.2,0.2,0.01
IEF,0.2,0.2,0.2,0.2,0.2,0.01
TLT,0.2,0.2,0.2,0.2,0.2,0.01
SEGA.L,0.2,0.2,0.2,0.2,0.2,0.01
IEAA.L,0.2,0.2,0.2,0.2,0.2,0.01
HIGH.L,0.2,0.2,0.2,0.2,0.2,0.01
JPEA.L,0.2,0.2,0.2,0.2,0.2,0.01
IAU,0.2,0.2,0.2,0.2,0.2,0.01
SLV,0.2,0.2,0.2,0.2,0.2,0.01
GSG,0.2,0.2,0.2,0.2,0.2,0.01
REET,0.2,0.2,0.2,0.2,0.2,0.01
ICLN,0.2,0.2,0.2,0.2,0.2,0.01
IXN,0.2,0.2,0.2,0.2,0.2,0.01
IGF,0.2,0.2,0.2,0.2,0.2,0.01
IUVL.L,0.2,0.2,0.2,0.2,0.2,0.01
IUMO.L,0.2,0.2,0.2,0.2,0.2,0.01
SPMV.L,0.2,0.2,0.2,0.2,0.2,0.01
IEVL.L,0.2,0.2,0.2,0.2,0.2,0.01
IEFM.L,0.2,0.2,0.2,0.2,0.2,0.01
MVEU.L,0.2,0.2,0.2,0.2,0.2,0.01
XLK,0.2,0.2,0.2,0.2,0.2,0.01
XLF,0.2,0.2,0.2,0.2,0.2,0.01
XLV,0.2,0.2,0.2,0.2,0.2,0.01
XLE,0.2,0.2,0.2,0.2,0.2,0.01
XLY,0.2,0.2,0.2,0.2,0.2,0.01
XLI,0.2,0.2,0.2,0.2,0.2,0.01
XLC,0.2,0.2,0.2,0.2,0.2,0.01
XLU,0.2,0.2,0.2,0.2,0.2,0.01
XLP,0.2,0.2,0.2,0.2,0.2,0.01
XLB,0.2,0.2,0.2,0.2,0.2,0.01
VXX,0.2,0.2,0.2,0.2,0.2,0.01
