symbol,date,price
V,2022/01/31,224.033
VRSK,2022/01/31,194.768
VXX,2022/01/31,21.41
WRK,2022/01/31,44.689
XLB,2022/01/31,82.489
XLC,2022/01/31,73.251
XLE,2022/01/31,63.251
XLF,2022/01/31,38.263
XLI,2022/01/31,99.025
XLK,2022/01/31,160.404
XLP,2022/01/31,74.058
XLU,2022/01/31,67.24
XLV,2022/01/31,129.234
XLY,2022/01/31,183.364
XOM,2022/01/31,72.486
ABBV,2022/02/01,131.976
ACN,2022/02/01,348.143
AEP,2022/02/01,84.637
AIZ,2022/02/01,148.613
ALLE,2022/02/01,118.12
AMAT,2022/02/01,137.337
AMP,2022/02/01,301.871
AMZN,2022/02/01,151.194
AVB,2022/02/01,236.6
AVY,2022/02/01,203.064
AXP,2022/02/01,181.017
BDX,2022/02/01,243.686
BF-B,2022/02/01,66.754
BMY,2022/02/01,63.189
BR,2022/02/01,150.52
CARR,2022/02/01,46.278
CDW,2022/02/01,187.158
CE,2022/02/01,153.217
CHTR,2022/02/01,596.89
CNC,2022/02/01,76.95
CNP,2022/02/01,27.251
COP,2022/02/01,86.84
CTAS,2022/02/01,382.331
CZR,2022/02/01,80.8
DG,2022/02/01,207.206
DPZ,2022/02/01,452.863
DRE,2022/02/01,56.343
DXC,2022/02/01,30.79
EWA,2022/02/01,22.021
EWC,2022/02/01,37.845
EWG,2022/02/01,31.328
EWH,2022/02/01,23.176
EWJ,2022/02/01,63.341
EWL,2022/02/01,49.04
EWQ,2022/02/01,37.211
EWT,2022/02/01,55.236
EWU,2022/02/01,33.172
EWY,2022/02/01,72.106
EWZ,2022/02/01,28.589
FTV,2022/02/01,70.316
GOOG,2022/02/01,137.878
GPC,2022/02/01,131.037
GSG,2022/02/01,19.26
HIG,2022/02/01,70.527
HIGH.L,2022/02/01,5.447
HST,2022/02/01,17.027
HYG,2022/02/01,80.447
IAU,2022/02/01,34.27
ICLN,2022/02/01,18.56
IEAA.L,2022/02/01,5.266
IEF,2022/02/01,110.337
IEFM.L,2022/02/01,780.8
IEMG,2022/02/01,58.418
IEUS,2022/02/01,63.88
IEVL.L,2022/02/01,7.599
IGF,2022/02/01,46.345
INDA,2022/02/01,45.89
IUMO.L,2022/02/01,11.362
IUVL.L,2022/02/01,9.265
IVV,2022/02/01,447.722
IWM,2022/02/01,200.461
IXN,2022/02/01,59.283
JPEA.L,2022/02/01,5.764
JPM,2022/02/01,146.323
KR,2022/02/01,43.033
LQD,2022/02/01,124.057
MCHI,2022/02/01,61.716
META,2022/02/01,319
MVEU.L,2022/02/01,54.08
OGN,2022/02/01,31.817
PG,2022/02/01,155.734
PPL,2022/02/01,28.595
PRU,2022/02/01,108.645
PYPL,2022/02/01,175.8
RE,2022/02/01,278.095
REET,2022/02/01,27.879
ROL,2022/02/01,30.548
ROST,2022/02/01,97.227
SEGA.L,2022/02/01,106.615
SHY,2022/02/01,83.7
SLV,2022/02/01,20.94
SPMV.L,2022/02/01,79.605
TLT,2022/02/01,138.297
UNH,2022/02/01,462.487
URI,2022/02/01,328.934
V,2022/02/01,230.165
VRSK,2022/02/01,195.205
VXX,2022/02/01,19.84
WRK,2022/02/01,44.844
XLB,2022/02/01,83.759
XLC,2022/02/01,73.885
XLE,2022/02/01,65.506
XLF,2022/02/01,38.792
XLI,2022/02/01,100.391
XLK,2022/02/01,160.82
XLP,2022/02/01,73.99
XLU,2022/02/01,66.347
XLV,2022/02/01,129.579
XLY,2022/02/01,184.474
XOM,2022/02/01,77.133
ABBV,2022/02/02,133.537
ACN,2022/02/02,354.103
AEP,2022/02/02,86.102
AIZ,2022/02/02,150.323
ALLE,2022/02/02,118.298
AMAT,2022/02/02,139.467
AMP,2022/02/02,306.877
AMZN,2022/02/02,150.612
AVB,2022/02/02,243.519
AVY,2022/02/02,197.466
AXP,2022/02/02,181.629
BDX,2022/02/02,246.996
BF-B,2022/02/02,67.635
BMY,2022/02/02,62.811
BR,2022/02/02,151.472
CARR,2022/02/02,46.73
CDW,2022/02/02,192.296
CE,2022/02/02,154.403
CHTR,2022/02/02,600.24
CNC,2022/02/02,78.82
CNP,2022/02/02,27.484
COP,2022/02/02,87.475
CTAS,2022/02/02,386.408
CZR,2022/02/02,77.5
DG,2022/02/02,204.799
DPZ,2022/02/02,446.579
DRE,2022/02/02,57.968
DXC,2022/02/02,30.69
EWA,2022/02/02,22.154
EWC,2022/02/02,38.002
EWG,2022/02/02,31.406
EWH,2022/02/02,23.196
EWJ,2022/02/02,64.309
EWL,2022/02/02,49.05
EWQ,2022/02/02,37.366
EWT,2022/02/02,55.448
EWU,2022/02/02,33.472
EWY,2022/02/02,72.619
EWZ,2022/02/02,28.393
FTV,2022/02/02,71.301
GOOG,2022/02/02,148.036
GPC,2022/02/02,131.974
GSG,2022/02/02,19.32
HIG,2022/02/02,71.505
HIGH.L,2022/02/02,5.449
HST,2022/02/02,16.84
HYG,2022/02/02,80.571
IAU,2022/02/02,34.38
ICLN,2022/02/02,18.481
IEAA.L,2022/02/02,5.26
IEF,2022/02/02,110.563
IEFM.L,2022/02/02,789.8
IEMG,2022/02/02,58.36
IEUS,2022/02/02,64.506
IEVL.L,2022/02/02,7.614
IGF,2022/02/02,46.677
INDA,2022/02/02,46.16
IUMO.L,2022/02/02,11.445
IUVL.L,2022/02/02,9.298
IVV,2022/02/02,452.023
IWM,2022/02/02,198.47
IXN,2022/02/02,59.72
JPEA.L,2022/02/02,5.805
JPM,2022/02/02,145.151
KR,2022/02/02,43.004
LQD,2022/02/02,124.067
MCHI,2022/02/02,61.186
META,2022/02/02,323
MVEU.L,2022/02/02,54.375
OGN,2022/02/02,32.145
PG,2022/02/02,158.522
PPL,2022/02/02,28.779
PRU,2022/02/02,109.725
PYPL,2022/02/02,132.57
RE,2022/02/02,283.647
REET,2022/02/02,28.182
ROL,2022/02/02,30.971
ROST,2022/02/02,96.034
SEGA.L,2022/02/02,106.704
SHY,2022/02/02,83.72
SLV,2022/02/02,20.93
SPMV.L,2022/02/02,80.895
TLT,2022/02/02,138.765
UNH,2022/02/02,473.713
URI,2022/02/02,325.156
V,2022/02/02,233.196
VRSK,2022/02/02,198.72
VXX,2022/02/02,19.42
WRK,2022/02/02,44.398
XLB,2022/02/02,84.022
XLC,2022/02/02,75.361
XLE,2022/02/02,65.717
XLF,2022/02/02,39.057
XLI,2022/02/02,101.089
XLK,2022/02/02,162.127
XLP,2022/02/02,74.877
XLU,2022/02/02,67.328
XLV,2022/02/02,131.322
XLY,2022/02/02,183.374
XOM,2022/02/02,76.932
ABBV,2022/02/03,135.57
ACN,2022/02/03,340.391
AEP,2022/02/03,86.4
AIZ,2022/02/03,149.154
ALLE,2022/02/03,114.292
AMAT,2022/02/03,135.256
AMP,2022/02/03,298.099
AMZN,2022/02/03,138.846
AVB,2022/02/03,242.145
AVY,2022/02/03,190.018
AXP,2022/02/03,181.51
BDX,2022/02/03,260.382
BF-B,2022/02/03,67.298
BMY,2022/02/03,62.103
BR,2022/02/03,145.67
CARR,2022/02/03,45.481
CDW,2022/02/03,190.685
CE,2022/02/03,155.394
CHTR,2022/02/03,610.45
CNC,2022/02/03,81.53
CNP,2022/02/03,27.318
COP,2022/02/03,86.204
CTAS,2022/02/03,380.12
CZR,2022/02/03,76.36
DG,2022/02/03,203.491
DPZ,2022/02/03,438.525
DRE,2022/02/03,57.909
DXC,2022/02/03,34.91
EWA,2022/02/03,21.907
EWC,2022/02/03,37.356
EWG,2022/02/03,31.125
EWH,2022/02/03,23.089
EWJ,2022/02/03,62.965
EWL,2022/02/03,48.02
EWQ,2022/02/03,36.92
EWT,2022/02/03,54.77
EWU,2022/02/03,33.134
EWY,2022/02/03,71.118
EWZ,2022/02/03,28.171
FTV,2022/02/03,65.756
GOOG,2022/02/03,142.65
GPC,2022/02/03,129.554
GSG,2022/02/03,19.4
HIG,2022/02/03,70.595
HIGH.L,2022/02/03,5.413
HST,2022/02/03,16.742
HYG,2022/02/03,79.849
IAU,2022/02/03,34.36
ICLN,2022/02/03,18.015
IEAA.L,2022/02/03,5.216
IEF,2022/02/03,110.091
IEFM.L,2022/02/03,778.95
IEMG,2022/02/03,57.736
IEUS,2022/02/03,63.372
IEVL.L,2022/02/03,7.552
IGF,2022/02/03,46.462
INDA,2022/02/03,45.53
IUMO.L,2022/02/03,11.405
IUVL.L,2022/02/03,9.35
IVV,2022/02/03,441.531
IWM,2022/02/03,194.714
IXN,2022/02/03,57.933
JPEA.L,2022/02/03,5.769
JPM,2022/02/03,143.951
KR,2022/02/03,43.989
LQD,2022/02/03,123.066
MCHI,2022/02/03,60.775
META,2022/02/03,237.76
MVEU.L,2022/02/03,53.36
OGN,2022/02/03,31.75
PG,2022/02/03,160.023
PPL,2022/02/03,28.75
PRU,2022/02/03,108.378
PYPL,2022/02/03,124.3
RE,2022/02/03,278.789
REET,2022/02/03,27.86
ROL,2022/02/03,30.243
ROST,2022/02/03,93.123
SEGA.L,2022/02/03,106.525
SHY,2022/02/03,83.651
SLV,2022/02/03,20.71
SPMV.L,2022/02/03,80.675
TLT,2022/02/03,137.682
UNH,2022/02/03,482.59
URI,2022/02/03,323.372
V,2022/02/03,229.352
VRSK,2022/02/03,195.572
VXX,2022/02/03,21.78
WRK,2022/02/03,44.66
XLB,2022/02/03,82.557
XLC,2022/02/03,70.319
XLE,2022/02/03,65.093
XLF,2022/02/03,38.626
XLI,2022/02/03,99.477
XLK,2022/02/03,157.423
XLP,2022/02/03,74.897
XLU,2022/02/03,67.027
XLV,2022/02/03,130.76
XLY,2022/02/03,177.762
XOM,2022/02/03,76.035
ABBV,2022/02/04,135.492
ACN,2022/02/04,342.312
AEP,2022/02/04,85.422
AIZ,2022/02/04,150.401
ALLE,2022/02/04,117.382
AMAT,2022/02/04,134.324
AMP,2022/02/04,301.871
AMZN,2022/02/04,157.64
AVB,2022/02/04,239.329
AVY,2022/02/04,186.26
AXP,2022/02/04,183.296
BDX,2022/02/04,258.717
BF-B,2022/02/04,66.418
BMY,2022/02/04,62.995
BR,2022/02/04,147.133
CARR,2022/02/04,45.087
CDW,2022/02/04,190.023
CE,2022/02/04,152.128
CHTR,2022/02/04,608.92
CNC,2022/02/04,80.57
CNP,2022/02/04,27.066
COP,2022/02/04,87.153
CTAS,2022/02/04,376.892
CZR,2022/02/04,78.83
DG,2022/02/04,200.508
DPZ,2022/02/04,432.873
DRE,2022/02/04,56.806
DXC,2022/02/04,36.03
EWA,2022/02/04,21.992
EWC,2022/02/04,37.561
EWG,2022/02/04,31.037
EWH,2022/02/04,23.4
EWJ,2022/02/04,63.459
EWL,2022/02/04,47.912
EWQ,2022/02/04,37.017
EWT,2022/02/04,54.676
EWU,2022/02/04,33.046
EWY,2022/02/04,71.849
EWZ,2022/02/04,28.162
FTV,2022/02/04,64.103
GOOG,2022/02/04,143.016
GPC,2022/02/04,126.684
GSG,2022/02/04,19.67
HIG,2022/02/04,68.962
HIGH.L,2022/02/04,5.365
HST,2022/02/04,17.115
HYG,2022/02/04,79.536
IAU,2022/02/04,34.39
ICLN,2022/02/04,18.183
IEAA.L,2022/02/04,5.173
IEF,2022/02/04,109.246
IEFM.L,2022/02/04,772.6
IEMG,2022/02/04,57.912
IEUS,2022/02/04,63.017
IEVL.L,2022/02/04,7.468
IGF,2022/02/04,46.306
INDA,2022/02/04,45.38
IUMO.L,2022/02/04,11.305
IUVL.L,2022/02/04,9.162
IVV,2022/02/04,443.745
IWM,2022/02/04,195.552
IXN,2022/02/04,58.211
JPEA.L,2022/02/04,5.735
JPM,2022/02/04,147.688
KR,2022/02/04,43.657
LQD,2022/02/04,121.843
MCHI,2022/02/04,61.138
META,2022/02/04,237.09
MVEU.L,2022/02/04,52.64
OGN,2022/02/04,31.943
PG,2022/02/04,157.479
PPL,2022/02/04,28.488
PRU,2022/02/04,113.109
PYPL,2022/02/04,126.08
RE,2022/02/04,279.522
REET,2022/02/04,27.635
ROL,2022/02/04,29.977
ROST,2022/02/04,92.906
SEGA.L,2022/02/04,106.605
SHY,2022/02/04,83.484
SLV,2022/02/04,20.79
SPMV.L,2022/02/04,80.02
TLT,2022/02/04,135.652
UNH,2022/02/04,477.06
URI,2022/02/04,311.272
V,2022/02/04,226.232
VRSK,2022/02/04,196.377
VXX,2022/02/04,21
WRK,2022/02/04,43.924
XLB,2022/02/04,81.19
XLC,2022/02/04,70.498
XLE,2022/02/04,66.11
XLF,2022/02/04,39.282
XLI,2022/02/04,98.406
XLK,2022/02/04,158.057
XLP,2022/02/04,73.98
XLU,2022/02/04,66.493
XLV,2022/02/04,130.288
XLY,2022/02/04,182.818
XOM,2022/02/04,77.686
ABBV,2022/02/07,137.304
ACN,2022/02/07,338.824
AEP,2022/02/07,86.036
AIZ,2022/02/07,150.077
ALLE,2022/02/07,118.573
AMAT,2022/02/07,134.879
AMP,2022/02/07,305.604
AMZN,2022/02/07,157.936
AVB,2022/02/07,236.493
AVY,2022/02/07,178.546
AXP,2022/02/07,185.288
BDX,2022/02/07,259.121
BF-B,2022/02/07,66.448
BMY,2022/02/07,64.158
BR,2022/02/07,145.16
CARR,2022/02/07,44.969
CDW,2022/02/07,189.045
CE,2022/02/07,150.758
CHTR,2022/02/07,610.75
CNC,2022/02/07,80.79
CNP,2022/02/07,27.251
COP,2022/02/07,88.168
CTAS,2022/02/07,374.977
CZR,2022/02/07,80.75
DG,2022/02/07,198.754
DPZ,2022/02/07,429.207
DRE,2022/02/07,56.442
DXC,2022/02/07,37.33
EWA,2022/02/07,22.173
EWC,2022/02/07,37.728
EWG,2022/02/07,31.037
EWH,2022/02/07,23.458
EWJ,2022/02/07,63.499
EWL,2022/02/07,47.912
EWQ,2022/02/07,37.066
EWT,2022/02/07,54.914
EWU,2022/02/07,33.23
EWY,2022/02/07,72.086
EWZ,2022/02/07,28.491
FTV,2022/02/07,63.596
GOOG,2022/02/07,138.938
GPC,2022/02/07,125.113
GSG,2022/02/07,19.63
HIG,2022/02/07,68.679
HIGH.L,2022/02/07,5.332
HST,2022/02/07,17.487
HYG,2022/02/07,79.479
IAU,2022/02/07,34.66
ICLN,2022/02/07,18.074
IEAA.L,2022/02/07,5.154
IEF,2022/02/07,109.276
IEFM.L,2022/02/07,778.9
IEMG,2022/02/07,57.863
IEUS,2022/02/07,62.569
IEVL.L,2022/02/07,7.509
IGF,2022/02/07,46.286
INDA,2022/02/07,44.93
IUMO.L,2022/02/07,11.44
IUVL.L,2022/02/07,9.232
IVV,2022/02/07,442.17
IWM,2022/02/07,196.518
IXN,2022/02/07,57.784
JPEA.L,2022/02/07,5.728
JPM,2022/02/07,148.181
KR,2022/02/07,43.56
LQD,2022/02/07,122.066
MCHI,2022/02/07,60.716
META,2022/02/07,224.91
MVEU.L,2022/02/07,52.76
OGN,2022/02/07,32.329
PG,2022/02/07,156.299
PPL,2022/02/07,28.372
PRU,2022/02/07,113.998
PYPL,2022/02/07,121.41
RE,2022/02/07,280.275
REET,2022/02/07,27.508
ROL,2022/02/07,30.016
ROST,2022/02/07,92.106
SEGA.L,2022/02/07,106.266
SHY,2022/02/07,83.503
SLV,2022/02/07,21.27
SPMV.L,2022/02/07,80.11
TLT,2022/02/07,135.74
UNH,2022/02/07,477.584
URI,2022/02/07,314.75
V,2022/02/07,225.014
VRSK,2022/02/07,195.662
VXX,2022/02/07,20.42
WRK,2022/02/07,43.847
XLB,2022/02/07,80.789
XLC,2022/02/07,69.269
XLE,2022/02/07,66.955
XLF,2022/02/07,39.4
XLI,2022/02/07,98.484
XLK,2022/02/07,157.007
XLP,2022/02/07,74.117
XLU,2022/02/07,66.396
XLV,2022/02/07,130.061
XLY,2022/02/07,182.442
XOM,2022/02/07,78.621
ABBV,2022/02/08,138.248
ACN,2022/02/08,339.918
AEP,2022/02/08,86.409
AIZ,2022/02/08,153.32
ALLE,2022/02/08,119.814
AMAT,2022/02/08,137.475
AMP,2022/02/08,308.945
AMZN,2022/02/08,161.414
AVB,2022/02/08,232.738
AVY,2022/02/08,181.37
AXP,2022/02/08,191.334
BDX,2022/02/08,266.069
BF-B,2022/02/08,66.725
BMY,2022/02/08,63.867
BR,2022/02/08,146.072
CARR,2022/02/08,45.304
CDW,2022/02/08,192.454
CE,2022/02/08,153.849
CHTR,2022/02/08,609.12
CNC,2022/02/08,85.67
CNP,2022/02/08,27.357
COP,2022/02/08,86.641
CTAS,2022/02/08,378.61
CZR,2022/02/08,82.36
DG,2022/02/08,200.915
DPZ,2022/02/08,433.525
DRE,2022/02/08,56.225
DXC,2022/02/08,38.82
EWA,2022/02/08,22.592
EWC,2022/02/08,37.923
EWG,2022/02/08,31.154
EWH,2022/02/08,23.663
EWJ,2022/02/08,63.864
EWL,2022/02/08,47.893
EWQ,2022/02/08,37.24
EWT,2022/02/08,55.473
EWU,2022/02/08,33.376
EWY,2022/02/08,72.303
EWZ,2022/02/08,28.544
FTV,2022/02/08,65.278
GOOG,2022/02/08,139.213
GPC,2022/02/08,126.977
GSG,2022/02/08,19.41
HIG,2022/02/08,71.153
HIGH.L,2022/02/08,5.352
HST,2022/02/08,17.811
HYG,2022/02/08,79.393
IAU,2022/02/08,34.73
ICLN,2022/02/08,18.114
IEAA.L,2022/02/08,5.158
IEF,2022/02/08,108.922
IEFM.L,2022/02/08,771.2
IEMG,2022/02/08,58.36
IEUS,2022/02/08,62.608
IEVL.L,2022/02/08,7.569
IGF,2022/02/08,46.608
INDA,2022/02/08,45.09
IUMO.L,2022/02/08,11.415
IUVL.L,2022/02/08,9.252
IVV,2022/02/08,445.684
IWM,2022/02/08,199.87
IXN,2022/02/08,58.518
JPEA.L,2022/02/08,5.695
JPM,2022/02/08,150.969
KR,2022/02/08,44.369
LQD,2022/02/08,121.61
MCHI,2022/02/08,61.392
META,2022/02/08,220.18
MVEU.L,2022/02/08,52.68
OGN,2022/02/08,32.55
PG,2022/02/08,155.948
PPL,2022/02/08,28.604
PRU,2022/02/08,115.967
PYPL,2022/02/08,120.26
RE,2022/02/08,283.803
REET,2022/02/08,27.39
ROL,2022/02/08,29.938
ROST,2022/02/08,94.208
SEGA.L,2022/02/08,105.481
SHY,2022/02/08,83.414
SLV,2022/02/08,21.45
SPMV.L,2022/02/08,80.16
TLT,2022/02/08,134.833
UNH,2022/02/08,487.171
URI,2022/02/08,322.336
V,2022/02/08,225.786
VRSK,2022/02/08,196.814
VXX,2022/02/08,19.5
WRK,2022/02/08,45.618
XLB,2022/02/08,82.04
XLC,2022/02/08,69.24
XLE,2022/02/08,65.516
XLF,2022/02/08,39.948
XLI,2022/02/08,99.467
XLK,2022/02/08,158.948
XLP,2022/02/08,74.4
XLU,2022/02/08,66.444
XLV,2022/02/08,131.125
XLY,2022/02/08,185.01
XOM,2022/02/08,76.589
ABBV,2022/02/09,137.949
ACN,2022/02/09,350.222
AEP,2022/02/09,86.37
AIZ,2022/02/09,163.656
ALLE,2022/02/09,123.219
AMAT,2022/02/09,142.875
AMP,2022/02/09,312.707
AMZN,2022/02/09,161.19
AVB,2022/02/09,240.732
AVY,2022/02/09,185.787
AXP,2022/02/09,193.7
BDX,2022/02/09,266.79
BF-B,2022/02/09,67.219
BMY,2022/02/09,65.079
BR,2022/02/09,148.095
CARR,2022/02/09,47.192
CDW,2022/02/09,187.711
CE,2022/02/09,156.104
CHTR,2022/02/09,614.75
CNC,2022/02/09,85.95
CNP,2022/02/09,27.416
COP,2022/02/09,88.177
CTAS,2022/02/09,386.526
CZR,2022/02/09,86.87
DG,2022/02/09,203.907
DPZ,2022/02/09,439.484
DRE,2022/02/09,57.653
DXC,2022/02/09,38.63
EWA,2022/02/09,22.953
EWC,2022/02/09,38.432
EWG,2022/02/09,31.658
EWH,2022/02/09,23.886
EWJ,2022/02/09,64.744
EWL,2022/02/09,48.746
EWQ,2022/02/09,37.889
EWT,2022/02/09,56.177
EWU,2022/02/09,33.637
EWY,2022/02/09,73.607
EWZ,2022/02/09,28.642
FTV,2022/02/09,66.184
GOOG,2022/02/09,141.453
GPC,2022/02/09,128.91
GSG,2022/02/09,19.63
HIG,2022/02/09,71.407
HIGH.L,2022/02/09,5.378
HST,2022/02/09,18.085
HYG,2022/02/09,79.811
IAU,2022/02/09,34.87
ICLN,2022/02/09,18.768
IEAA.L,2022/02/09,5.173
IEF,2022/02/09,109.069
IEFM.L,2022/02/09,791.45
IEMG,2022/02/09,59.257
IEUS,2022/02/09,64.185
IEVL.L,2022/02/09,7.688
IGF,2022/02/09,47.282
INDA,2022/02/09,45.68
IUMO.L,2022/02/09,11.705
IUVL.L,2022/02/09,9.408
IVV,2022/02/09,452.259
IWM,2022/02/09,203.665
IXN,2022/02/09,59.789
JPEA.L,2022/02/09,5.734
JPM,2022/02/09,151.599
KR,2022/02/09,44.028
LQD,2022/02/09,122.018
MCHI,2022/02/09,62.744
META,2022/02/09,232
MVEU.L,2022/02/09,53.19
OGN,2022/02/09,33.36
PG,2022/02/09,155.597
PPL,2022/02/09,28.604
PRU,2022/02/09,115.833
PYPL,2022/02/09,122.94
RE,2022/02/09,282.581
REET,2022/02/09,27.957
ROL,2022/02/09,30.965
ROST,2022/02/09,96.122
SEGA.L,2022/02/09,106.058
SHY,2022/02/09,83.405
SLV,2022/02/09,21.53
SPMV.L,2022/02/09,81.13
TLT,2022/02/09,135.086
UNH,2022/02/09,491.802
URI,2022/02/09,333.1
V,2022/02/09,228.689
VRSK,2022/02/09,197.678
VXX,2022/02/09,18.71
WRK,2022/02/09,45.889
XLB,2022/02/09,83.827
XLC,2022/02/09,71.191
XLE,2022/02/09,66.062
XLF,2022/02/09,40.203
XLI,2022/02/09,100.834
XLK,2022/02/09,162.474
XLP,2022/02/09,74.419
XLU,2022/02/09,66.735
XLV,2022/02/09,132.139
XLY,2022/02/09,187.458
XOM,2022/02/09,76.222
ABBV,2022/02/10,137.477
ACN,2022/02/10,337.278
AEP,2022/02/10,84.447
AIZ,2022/02/10,159.736
ALLE,2022/02/10,118.8
AMAT,2022/02/10,138.486
AMP,2022/02/10,310.613
AMZN,2022/02/10,159.004
AVB,2022/02/10,234.2
AVY,2022/02/10,183.731
AXP,2022/02/10,192.823
BDX,2022/02/10,261.69
BF-B,2022/02/10,66.547
BMY,2022/02/10,64.468
BR,2022/02/10,143.766
CARR,2022/02/10,46.376
CDW,2022/02/10,181.199
CE,2022/02/10,155.54
CHTR,2022/02/10,606.52
CNC,2022/02/10,84.15
CNP,2022/02/10,26.804
COP,2022/02/10,87.191
CTAS,2022/02/10,376.734
CZR,2022/02/10,86.49
DG,2022/02/10,200.251
DPZ,2022/02/10,433.377
DRE,2022/02/10,55.102
DXC,2022/02/10,37.81
EWA,2022/02/10,22.744
EWC,2022/02/10,38.08
EWG,2022/02/10,31.299
EWH,2022/02/10,23.789
EWJ,2022/02/10,63.716
EWL,2022/02/10,48.03
EWQ,2022/02/10,37.318
EWT,2022/02/10,55.923
EWU,2022/02/10,33.501
EWY,2022/02/10,72.758
EWZ,2022/02/10,28.829
FTV,2022/02/10,65.467
GOOG,2022/02/10,138.602
GPC,2022/02/10,124.313
GSG,2022/02/10,19.5
HIG,2022/02/10,71.348
HIGH.L,2022/02/10,5.366
HST,2022/02/10,18.174
HYG,2022/02/10,78.757
IAU,2022/02/10,34.73
ICLN,2022/02/10,18.292
IEAA.L,2022/02/10,5.153
IEF,2022/02/10,108.067
IEFM.L,2022/02/10,786.6
IEMG,2022/02/10,58.838
IEUS,2022/02/10,63.299
IEVL.L,2022/02/10,7.706
IGF,2022/02/10,46.784
INDA,2022/02/10,45.06
IUMO.L,2022/02/10,11.745
IUVL.L,2022/02/10,9.432
IVV,2022/02/10,444.267
IWM,2022/02/10,200.54
IXN,2022/02/10,58.3
JPEA.L,2022/02/10,5.699
JPM,2022/02/10,150.969
KR,2022/02/10,44.047
LQD,2022/02/10,120.357
MCHI,2022/02/10,62.215
META,2022/02/10,228.07
MVEU.L,2022/02/10,53.025
OGN,2022/02/10,33.226
PG,2022/02/10,153.228
PPL,2022/02/10,27.897
PRU,2022/02/10,116.014
PYPL,2022/02/10,119.02
RE,2022/02/10,284.849
REET,2022/02/10,27.537
ROL,2022/02/10,30.55
ROST,2022/02/10,95.284
SEGA.L,2022/02/10,105.222
SHY,2022/02/10,82.981
SLV,2022/02/10,21.42
SPMV.L,2022/02/10,80.33
TLT,2022/02/10,132.94
UNH,2022/02/10,480.566
URI,2022/02/10,324.618
V,2022/02/10,223.822
VRSK,2022/02/10,193.338
VXX,2022/02/10,20.46
WRK,2022/02/10,45.422
XLB,2022/02/10,83.339
XLC,2022/02/10,70.171
XLE,2022/02/10,65.65
XLF,2022/02/10,39.85
XLI,2022/02/10,99.182
XLK,2022/02/10,158.225
XLP,2022/02/10,73.62
XLU,2022/02/10,65.046
XLV,2022/02/10,130.071
XLY,2022/02/10,184.226
XOM,2022/02/10,75.489
ABBV,2022/02/11,136.803
ACN,2022/02/11,324.265
AEP,2022/02/11,84.699
AIZ,2022/02/11,159.107
ALLE,2022/02/11,117.008
AMAT,2022/02/11,131.273
AMP,2022/02/11,298.912
AMZN,2022/02/11,153.294
AVB,2022/02/11,232.913
AVY,2022/02/11,180.533
AXP,2022/02/11,189.174
