id	Class 1 (avg. correlation)	Class 2 (connection score)
190cb995	1.Well Connected	1.Well Connected
169b45f0	1.Well Connected	1.Well Connected
05cd7224	1.Well Connected	2.Connected
86458890	1.Well Connected	4.Disconnected
20fbd380	1.Well Connected	1.Well Connected
7139c8db	1.Well Connected	1.Well Connected
12b14bfc	1.Well Connected	1.Well Connected
f4767b9c	1.Well Connected	1.Well Connected
f743b142	1.Well Connected	1.Well Connected
98669526	1.Well Connected	1.Well Connected
